HomeTeam,AwayTeam,FTHG,FTAG,FTR
Guarani,Vasco,4,2,H
Athletico-PR,Gremio,2,0,H
Flamengo,Coritiba,1,1,D
Goias,Paysandu,2,2,D
Internacional,Ponte Preta,1,1,D
Criciuma,Fluminense,2,0,H
Juventude,Sao Paulo,2,2,D
Fortaleza,Bahia,0,0,D
Cruzeiro,Sao Caetano,2,2,D
Vitoria,Figueirense,1,1,D
Santos,Parana,2,2,D
Corinthians,Atletico-MG,0,3,A
Fluminense,Fortaleza,1,1,D
Atletico-MG,Santos,0,0,D
Coritiba,Internacional,0,1,A
Gremio,Guarani,3,1,H
Bahia,Flamengo,1,2,A
Figueirense,Corinthians,3,3,D
Paysandu,Vitoria,1,2,A
Ponte Preta,Juventude,1,0,H
Parana,Athletico-PR,3,0,H
Sao Caetano,Criciuma,3,2,H
Sao Paulo,Cruzeiro,2,4,A
Vasco,Goias,6,4,H
Paysandu,Santos,2,1,H
Internacional,Bahia,2,0,H
Santos,Figueirense,2,0,H
Athletico-PR,Atletico-MG,1,2,A
Corinthians,Paysandu,6,1,H
Vitoria,Vasco,2,1,H
Criciuma,Sao Paulo,1,1,D
Fortaleza,Sao Caetano,1,1,D
Juventude,Coritiba,2,1,H
Guarani,Parana,2,0,H
Goias,Gremio,1,1,D
Cruzeiro,Ponte Preta,3,0,H
Flamengo,Fluminense,4,1,H
Bahia,Juventude,3,1,H
Gremio,Vitoria,2,1,H
Atletico-MG,Guarani,3,2,H
Figueirense,Athletico-PR,1,1,D
Ponte Preta,Criciuma,1,1,D
Sao Caetano,Flamengo,1,1,D
Vasco,Corinthians,2,2,D
Coritiba,Cruzeiro,3,4,A
Fluminense,Internacional,3,1,H
Sao Paulo,Fortaleza,3,1,H
Parana,Goias,3,1,H
Flamengo,Cruzeiro,3,0,H
Bahia,Atletico-MG,2,4,A
Sao Caetano,Gremio,1,1,D
Flamengo,Santos,0,2,A
Sao Paulo,Vasco,3,1,H
Internacional,Corinthians,2,1,H
Criciuma,Guarani,1,0,H
Juventude,Vitoria,1,1,D
Fortaleza,Athletico-PR,1,0,H
Ponte Preta,Paysandu,4,4,D
Cruzeiro,Goias,4,1,H
Fluminense,Parana,0,0,D
Coritiba,Figueirense,1,0,H
Atletico-MG,Coritiba,1,2,A
Parana,Bahia,3,1,H
Vitoria,Internacional,0,3,A
Guarani,Cruzeiro,1,1,D
Corinthians,Flamengo,1,1,D
Goias,Juventude,7,0,H
Figueirense,Ponte Preta,0,0,D
Santos,Fortaleza,4,0,H
Gremio,Fluminense,0,1,A
Athletico-PR,Criciuma,5,2,H
Paysandu,Sao Paulo,5,2,H
Vasco,Sao Caetano,1,0,H
Flamengo,Vitoria,2,1,H
Bahia,Gremio,2,1,H
Cruzeiro,Athletico-PR,5,2,H
Fortaleza,Corinthians,1,2,A
Sao Paulo,Figueirense,3,2,H
Sao Caetano,Paysandu,2,0,H
Internacional,Goias,2,1,H
Ponte Preta,Atletico-MG,2,1,H
Juventude,Guarani,1,1,D
Coritiba,Parana,2,1,H
Criciuma,Santos,1,3,A
Fluminense,Vasco,0,0,D
Goias,Flamengo,1,1,D
Santos,Cruzeiro,0,2,A
Parana,Ponte Preta,3,2,H
Corinthians,Criciuma,3,0,H
Vasco,Bahia,1,1,D
Paysandu,Fluminense,2,2,D
Atletico-MG,Sao Paulo,2,2,D
Vitoria,Fortaleza,2,1,H
Guarani,Internacional,3,0,H
Athletico-PR,Juventude,2,0,H
Figueirense,Sao Caetano,3,0,H
